RUT,NOMBRE,CLASIFICACION
56024910-1,JUNTA DE VIGILANCIA DEPARTAMENTOS FISCAL,OTRO MUNICIPAL
56027170-0,CENTRO COMERCIAL PASEO BASCUNAN,OTRO MUNICIPAL
56028060-2,COMUNIDAD DE ADMINISTRACION GALERIA COMERCIAL PASEO DEL MAR,OTRO MUNICIPAL
56031640-2,COMUNIDAD EDIFICIO PASEO APOQUINDO I,OTRO MUNICIPAL
56033540-7,COMUNIDAD EDIFICIO PASEO APOQUINDO II,OTRO MUNICIPAL
56042690-9,COMUNIDAD EDIFICIOS PASEO ZURICH,OTRO MUNICIPAL
56049400-9,COMUNIDAD EDIFICIO INSTITUTO DE SALUD INTEGRAL,OTRO MUNICIPAL
56052630-K,COMUNIDAD EDIFICIO MUTUAL DE SEGURIDAD CAMARA CHILENA DE LA CONSTRUC,OTRO MUNICIPAL
56054200-3,COMUNIDAD EDIFICIO PASEO LOS LEONES,OTRO MUNICIPAL
56055370-6,COMUNIDAD EDIFICIO PASEO LAS PALMAS,OTRO MUNICIPAL
56056630-1,COMUNIDAD COPROPIETARIOS EDIFICIO PROSALUD,OTRO MUNICIPAL
56057400-2,COMUNIDAD EDIFICIO PASEO APOQUINDO III,OTRO MUNICIPAL
56061230-3,COMUNIDAD EDIFICIO PASEO SAN CRISTOBAL,OTRO MUNICIPAL
56079020-1,COMUNIDAD CONDOMINIO PASEO MANQUEHUE II,OTRO MUNICIPAL
59095280-K,INSTITUTO PARA LA EDUCACION INTERNACIONAL DE ESTUDIANTES,OTRO MUNICIPAL
59282830-8,INTERASEO S.A.S.E.S.P. AGENCIA EN CHILE,OTRO MUNICIPAL
60301009-4,DEPARTAMENTO DE BIENESTAR DEL PODER JUDICIAL,OTRO MUNICIPAL
60505731-4,CARABINEROS DE CHILE DEPARTAMENTO ACCION SOCIAL,OTRO MUNICIPAL
60819000-7,SUPERINTENDENCIA DE SALUD,OTRO MUNICIPAL
60901000-2,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,OTRO MUNICIPAL
60901003-7,SECRETARIA MINISTERIAL DE EDUCACION REGION DE TARAPACA,OTRO MUNICIPAL
60901004-5,SECRETARIA MINISTERIAL DE EDUCACION DE LA SEGUNDA REGION,OTRO MUNICIPAL
60901005-3,SECRETARIA MINISTERIAL DE EDUCACION DE LA TERCERA REGION,OTRO MUNICIPAL
60901006-1,SECRETARIA MINISTERIAL DE EDUCACION DE LA CUARTA REGION,OTRO MUNICIPAL
60901007-K,SECRETARIA MINISTERIAL DE EDUCACION DE LA QUINTA REGION,OTRO MUNICIPAL
60901009-6,SECRETARIA MINISTERIAL DE EDUCACION DE L,OTRO MUNICIPAL
60901010-K,SECRETARIA REGIONAL MINISTERIAL DE EDUCACION VIII REGION,OTRO MUNICIPAL
60901011-8,SECRETARIA REGIONAL MINISTERIAL DE EDUCACION IX REGIÓN,OTRO MUNICIPAL
60901012-6,SECRETARIA MINISTERIAL DE EDUCACION DE L,OTRO MUNICIPAL
60901013-4,SECRETARIA MINISTERIAL DE EDUCACION XIA,OTRO MUNICIPAL
60901014-2,SECRETARIA MINISTERIAL DE EDUCACION DE L,OTRO MUNICIPAL
60901015-0,SECRETARIA REGIONAL MINISTERIAL DE EDUCACION REGION METROPOLITANA,OTRO MUNICIPAL
60901018-5,DIRECCION PROVINCIAL EDUCACION EL LOA,OTRO MUNICIPAL
60901019-3,DEPARTAMENTO PROVINCIAL DE EDUCACION CONCEPCION,OTRO MUNICIPAL
60902002-4,DEPARTAMENTO PROVINCIAL DE EDUCACION HUASCO-VALLENAR,OTRO MUNICIPAL
60902004-0,DIRECCION PROVINCIAL DE EDUCACION DE CHI,OTRO MUNICIPAL
60902011-3,DEPARTAMENTO PROVINCIAL DE EDUCACION OSORNO,OTRO MUNICIPAL
60902013-K,DIRECCION PROVINCIAL DE EDUCACION PRIMARIA DE TARAPACA,OTRO MUNICIPAL
60902015-6,DEPARTAMENTO PROVINCIAL DE EDUCACION DE VALDIVIA,OTRO MUNICIPAL
60902018-0,MINISTERIO DE EDUCACION DIRECC DEPTAL ED,OTRO MUNICIPAL
60902022-9,DEPARTAMENTO PROVINCIAL DE EDUCACION DE CURICO,OTRO MUNICIPAL
60902024-5,DIRECCION PROVINCIAL EDUCACION ACONCAGUA,OTRO MUNICIPAL
60902039-3,DIRECCION PROVINCIAL EDUCACION LLANQUIHU,OTRO MUNICIPAL
60902054-7,DIRECCION PROVINCIAL DE EDUCACION DE ARA,OTRO MUNICIPAL
60902063-6,DEPARTAMENTO DE EDUCACION MUNICIPAL,OTRO MUNICIPAL
60902066-0,DEPARTAMENTO PROVINCIAL DE EDUCACION DE BIO-BIO,OTRO MUNICIPAL
60902067-9,DEPARTAMENTO PROVINCIAL DE EDUCACION SAN ANTONIO,OTRO MUNICIPAL
60902069-5,DIRECCION PROVINCIAL DE EDUCACION PALENA,OTRO MUNICIPAL
60904030-0,DIREC DE EDUCACION PROFESIONAL ESC EXPERIM EDUCAC ARTIST STGO,OTRO MUNICIPAL
60907062-5,MINISTERIO DE EDUCACION UNIDAD NACIONAL,OTRO MUNICIPAL
60910047-8,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,OTRO MUNICIPAL
60930000-0,CONSEJO NACIONAL DE EDUCACION,OTRO MUNICIPAL
61004036-5,CENTRO DE EDUCACION Y TRABAJO DE GENDARMERIA DE CHILE,OTRO MUNICIPAL
61004114-0,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO DE CONCEPCION,OTRO MUNICIPAL
61101032-K,DIVISION DE SALUD,OTRO MUNICIPAL
61102006-6,DEPARTAMENTO DE BIENESTAR SOCIAL ARMADA VALPARAISO,OTRO MUNICIPAL
61102023-6,DEPARTAMENTO BIENESTAR SOCIAL IIA ZONA NAVAL,OTRO MUNICIPAL
61102028-7,DEPTO BIENESTAR SOCIAL (M) 3RA ZONA NAVA,OTRO MUNICIPAL
61102038-4,DEPARTAMENTO DE BIENESTAR SOCIAL DE LA A,OTRO MUNICIPAL
61102161-5,ARMADA DE CHILE DEPTO BIENESTAR SOC V DE LA ARMADA COLEGIO CAPELLAN PA,OTRO MUNICIPAL
61104022-9,DEPTO BIENESTAR SOCIAL DE LA DIRECCION GENERAL DE AERONAUTICA CIVIL,OTRO MUNICIPAL
61308017-1,SERVICIO AGRICOLA Y GANADERO DEPTO BIENE,OTRO MUNICIPAL
61509000-K,SUPERINTENDENCIA DE SEGURIDAD SOCIAL,OTRO MUNICIPAL
61533000-0,INSTITUTO DE SEGURIDAD LABORAL,OTRO MUNICIPAL
61601000-K,SUBSECRETARIA DE SALUD PUBLICA,OTRO MUNICIPAL
61602042-0,SERVICIO NACIONAL DE SALUD HOSPITAL DE LLAY LLAY,OTRO MUNICIPAL
61602121-4,SERVICIO NACIONAL DE SALUD HOSPITAL DE P,OTRO MUNICIPAL
61602122-2,SERVICIO NACIONAL DE SALUD HOSPITAL DE T,OTRO MUNICIPAL
61602123-0,SERVICIO NACIONAL DE SALUD HOSPITAL DE MELIPILLA,OTRO MUNICIPAL
61602125-7,SERVICIO DE SALUD METROPOLITANO OCCIDENTE HOSPITAL DE CURACAVI,OTRO MUNICIPAL
61602132-K,SERVICIO DE SALUD HOSPITAL DE GRANEROS,OTRO MUNICIPAL
61602134-6,SERVICIO DE SALUD HOSPITAL COINCO,OTRO MUNICIPAL
61602140-0,SERVICIO DE SALUD HOSPITAL DE RENGO,OTRO MUNICIPAL
61602141-9,SERVICIO DE SALUD HOSPITAL DE SAN VICENTE DE TAGUA TAGUA,OTRO MUNICIPAL
61602142-7,SERVICIO DE SALUD HOSPITAL DE PEUMO,OTRO MUNICIPAL
61602143-5,SERVICIO DE SALUD HOSPITAL DE PICHIDEGUA,OTRO MUNICIPAL
61602145-1,SERVICIO DE SALUD HOSPITAL DE SAN FERNANDO,OTRO MUNICIPAL
61602146-K,SERVICIO DE SALUD HOSPITAL DE CHIMBARONGO,OTRO MUNICIPAL
61602147-8,SERVICIO DE SALUD HOSPITAL DE NANCAGUA,OTRO MUNICIPAL
61602148-6,SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ,OTRO MUNICIPAL
61602150-8,SERVICIO DE SALUD HOSPITAL DE LOLOL,OTRO MUNICIPAL
61602151-6,SERVICIO DE SALUD HOSPITAL DE MARCHIGUE,OTRO MUNICIPAL
61602153-2,SERVICIO DE SALUD HOSPITAL DE PICHILEMU,OTRO MUNICIPAL
61602194-K,SERVICIO NACIONAL DE SALUD HOSPITAL DE COELEMU,OTRO MUNICIPAL
61602198-2,SERVICIO SALUD TALCAHUANO HOSPITAL PENCO-LIRQUEN,OTRO MUNICIPAL
61602199-0,SERVICIO NACIONAL DE SALUD HOSPITAL DE FLORIDA,OTRO MUNICIPAL
61602201-6,SERVICIO NACIONAL DE SALUD HOSPITAL DE CORONEL,OTRO MUNICIPAL
61602203-2,SERVICIO NACIONAL DE SALUD HOSPITAL DE LOTA,OTRO MUNICIPAL
61602204-0,SERVICIO NACIONAL DE SALUD HOSPITAL DE SANTA JUANA,OTRO MUNICIPAL
61602220-2,SERVICIO SALUD BIO BIO HOSPITAL NACIMIENTO,OTRO MUNICIPAL
61602222-9,SERVICIO DE SALUD ARAUCANIA NORTE HOSPITAL DE ANGOL,OTRO MUNICIPAL
61602224-5,SERVICIO NACIONAL DE SALUD HOSPITAL PUREN,OTRO MUNICIPAL
61602226-1,SERVICIO DE SALUD ARAUCANIA HOSPITAL DE TRAIGUEN,OTRO MUNICIPAL
61602229-6,SERVICIO SALUD ARAUCANIA NORTE HOSPITAL VICTORIA,OTRO MUNICIPAL
61602238-5,SERVICIO SALUD ARAUCANIA SUR HOSPITAL PITRUFQUEN,OTRO MUNICIPAL
61602240-7,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE GALVARINO,OTRO MUNICIPAL
61602241-5,SERVICIO SALUD ARAUCANIA NORTE HOSPITAL CURACAUTIN,OTRO MUNICIPAL
61602243-1,SERVICIO SALUD ARAUCANIA SUR HOSPITAL TOLTEN,OTRO MUNICIPAL
61602244-K,SERVICIO SALUD ARAUCANIA SUR HOSPIT DR EDUARDO GONZALEZ GALENO CUNCO,OTRO MUNICIPAL
61602245-8,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE GORBEA,OTRO MUNICIPAL
61602246-6,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL CARAHUE,OTRO MUNICIPAL
61602247-4,SERVICIO DE SALUD DE LA ARAUCANIA SUR HOSPITAL LONCOCHE,OTRO MUNICIPAL
61602268-7,HOSPITAL DE LLANQUIHUE SERVICIO DE SALUD DEL RELONCAVI,OTRO MUNICIPAL
61602270-9,HOSPITAL DE FRUTILLAR SERVICIO DE SALUD DEL RELONCAVI,OTRO MUNICIPAL
61602271-7,HOSPITAL DE FRESIA SERVICIO DE SALUD DEL RELONCAVI,OTRO MUNICIPAL
61602272-5,SERVICIO DE SALUD DEL RELONCAVI HOSPITAL MAULLIN,OTRO MUNICIPAL
61602273-3,HOSPITAL DE CALBUCO SERVICIO DE SALUD RELONCAVI,OTRO MUNICIPAL
61602274-1,SERVICIO DE SALUD DEL RELONCAVI HOSPITAL DE FUTALEUFU,OTRO MUNICIPAL
61602275-K,SERVICIO DE SALUD CHILOE HOSPITAL CASTRO,OTRO MUNICIPAL
61602278-4,SERVICIO DE SALUD HOSPITAL ACHAO,OTRO MUNICIPAL
61602279-2,SERVICIO NACIONAL DE SALUD HOSPITAL DE PUERTO AYSEN,OTRO MUNICIPAL
61602280-6,SERVICIO NACIONAL DE SALUD HOSPITAL DE C,OTRO MUNICIPAL
61602281-4,SERVICIO NACIONAL DE SALUD HOSPITAL DE C,OTRO MUNICIPAL
61602292-K,SERVICIO NACIONAL DE SALUD HOSPITAL DE COCHRANE,OTRO MUNICIPAL
61602293-8,SERVICIO NAC DE SALUD HOSPITAL DE PTO CISNES,OTRO MUNICIPAL
61602299-7,SERV SALUD ARAUC SUR HOSP DR ARTURO HILLERNS LARRANAGA DE PTO SAAVEDRA,OTRO MUNICIPAL
61602311-K,SERVICIO  DE SALUD HOSPITAL CHAITEN,OTRO MUNICIPAL
61602312-8,SERVICIO DE SALUD DEL RELONCAVI,OTRO MUNICIPAL
61603000-0,FONDO NACIONAL DE SALUD,OTRO MUNICIPAL
61605000-1,INSTITUTO DE SALUD PUBLICA DE CHILE,OTRO MUNICIPAL
61606000-7,SERVICIO DE SALUD DE ARICA Y PARINACOTA,OTRO MUNICIPAL
61606001-5,SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,OTRO MUNICIPAL
61606003-1,SERVICIO DE SALUD ARICA BIENESTAR DEL PERSONAL,OTRO MUNICIPAL
61606100-3,SERVICIO DE SALUD TARAPACA,OTRO MUNICIPAL
61606200-K,SERVICIO DE SALUD ANTOFAGASTA DIRECCION,OTRO MUNICIPAL
61606201-8,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,OTRO MUNICIPAL
61606202-6,SERVICIO DE SALUD ANTOFAGASTA HOSP C CIS,OTRO MUNICIPAL
61606203-4,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL M,OTRO MUNICIPAL
61606204-2,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL 21 DE MAYO TALTAL,OTRO MUNICIPAL
61606207-7,ILUSTRE MUNICIPALIDAD DE CALAMA CEMENTERIO MUNICIPAL,MUNI
61606210-7,SERVICIO DE SALUD ANTOFAGASTA SERV BIENE,OTRO MUNICIPAL
61606300-6,SERVICIO DE SALUD ATACAMA,OTRO MUNICIPAL
61606305-7,SERVICIO DE SALUD ATACAMA HOSPITAL DE CHANARAL,OTRO MUNICIPAL
61606306-5,SERVICIO DE SALUD ATACAMA HOSPITAL FLORENCIO VARGAS DIAZ,OTRO MUNICIPAL
61606307-3,SERVICIO DE SALUD ATACAMA HOSPITAL COPIA,OTRO MUNICIPAL
61606309-K,SERVICIO SALUD ATACAMA HOSPITAL DE HUASCO,OTRO MUNICIPAL
61606400-2,SERVICIO DE SALUD COQUIMBO,OTRO MUNICIPAL
61606401-0,SERVICIO DE SALUD COQUIMBO HOSPITAL VICUNA,OTRO MUNICIPAL
61606402-9,SERVICIO DE SALUD COQUIMBO HOSPITAL LA SERENA,OTRO MUNICIPAL
61606403-7,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO,OTRO MUNICIPAL
61606405-3,SERVICIO DE SALUD COQUIMBO HOSPITAL DE ANDACOLLO,OTRO MUNICIPAL
61606406-1,SERVICIO DE SALUD COQUIMBO HOSPITAL COMB,OTRO MUNICIPAL
61606407-K,SERVICIO DE SALUD COQUIMBO HOSPITAL DR. HUMBERTO ELORZA CORTES,OTRO MUNICIPAL
61606408-8,SERVICIO SALUD COQUIMBO HOSP DE SALAMANC,OTRO MUNICIPAL
61606409-6,SERVICIO DE SALUD COQUIMBO HOSPITAL DE LOS VILOS,OTRO MUNICIPAL
61606500-9,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,OTRO MUNICIPAL
61606600-5,SERVICIO SALUD VINA DEL MAR QUILLOTA,OTRO MUNICIPAL
61606605-6,SERVICIO DE SALUD VINA DEL MAR QUILLOTA,OTRO MUNICIPAL
61606700-1,SERVICIO DE SALUD ACONCAGUA,OTRO MUNICIPAL
61606800-8,SERVICIO DE SALUD LIBERTADOR BDO OHIGGINS,OTRO MUNICIPAL
61606900-4,SERVICIO DE SALUD DEL MAULE,OTRO MUNICIPAL
61606901-2,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,OTRO MUNICIPAL
61606903-9,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,OTRO MUNICIPAL
61606905-5,SERVICIO DE SALUD DEL MAULE HOSPITAL DE LICANTEN,OTRO MUNICIPAL
61606906-3,SERVICIO DE SALUD DEL MAULE HOSPITAL DE HUALANE,OTRO MUNICIPAL
61606907-1,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TENO,OTRO MUNICIPAL
61606908-K,SERVICIO DE SALUD DEL MAULE HOSPITAL DE MOLINA,OTRO MUNICIPAL
61606910-1,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CUREPTO,OTRO MUNICIPAL
61606911-K,SERVICIO DE SALUD DEL MAULE HOSPITAL DE,OTRO MUNICIPAL
61606912-8,SERVICIO DE SALUD DEL MAULE HOSPITAL SAN JAVIER,OTRO MUNICIPAL
